last,first,pos,num,comb,takeaways,oz_take,nz_take,dz_take,p1_take,p2_take,p3_take,ot_take,5v5_take,ev_take,pp_take,sh_take
DAHLBECK,KLAS,D,34,KLAS DAHLBECK,10.0,1.0,1.0,8.0,5.0,3.0,2.0,0.0,7.0,7.0,0.0,3.0
ALLEN,JAKE,G,34,JAKE ALLEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REIMER,JAMES,G,34,JAMES REIMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANNATA,JOE,G,34,JOE CANNATA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUTCHINSON,MICHAEL,G,34,MICHAEL HUTCHINSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRAZEK,PETR,G,34,PETR MRAZEK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEKAC,JIRI,L,34,JIRI SEKAC,14.0,8.0,4.0,2.0,5.0,7.0,2.0,0.0,13.0,13.0,1.0,0.0
DI GIUSEPPE,PHILLIP,L,34,PHILLIP DI GIUSEPPE,17.0,7.0,6.0,4.0,5.0,7.0,5.0,0.0,16.0,17.0,0.0,0.0
ANDERSON,JOSH,R,34,JOSH ANDERSON,4.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0
MCCARRON,MICHAEL,R,34,MICHAEL MCCARRON,4.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0
KUHNHACKL,TOM,R,34,TOM KUHNHACKL,5.0,1.0,2.0,2.0,3.0,2.0,0.0,0.0,4.0,4.0,0.0,1.0
MONTOYA,AL,G,35,AL MONTOYA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINDGREN,CHARLIE,G,35,CHARLIE LINDGREN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHNEIDER,CORY,G,35,CORY SCHNEIDER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KUEMPER,DARCY,G,35,DARCY KUEMPER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOKARSKI,DUSTIN,G,35,DUSTIN TOKARSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOWARD,JIMMY,G,35,JIMMY HOWARD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POULIN,KEVIN,G,35,KEVIN POULIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ULLMARK,LINUS,G,35,LINUS ULLMARK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOMINGUE,LOUIS,G,35,LOUIS DOMINGUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RINNE,PEKKA,G,35,PEKKA RINNE,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
WILL,ROMAN,G,35,ROMAN WILL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
